date,bundeslander,confirmed,deceased,recovered
2020-01-02,Baden-Württemberg,0,0,0
2020-01-02,Bayern,0,0,0
2020-01-02,Berlin,0,0,0
2020-01-02,Brandenburg,0,0,0
2020-01-02,Bremen,0,0,0
2020-01-02,Hamburg,0,0,0
2020-01-02,Hessen,0,0,0
2020-01-02,Mecklenburg-Vorpommern,0,0,0
2020-01-02,Niedersachsen,0,0,0
2020-01-02,Nordrhein-Westfalen,1,0,1
2020-01-02,Rheinland-Pfalz,0,0,0
2020-01-02,Saarland,0,0,0
2020-01-02,Sachsen,0,0,0
2020-01-02,Sachsen-Anhalt,0,0,0
2020-01-02,Schleswig-Holstein,0,0,0
2020-01-02,Thüringen,0,0,0
2020-01-15,Baden-Württemberg,0,0,0
2020-01-15,Bayern,0,0,0
2020-01-15,Berlin,0,0,0
2020-01-15,Brandenburg,0,0,0
2020-01-15,Bremen,0,0,0
2020-01-15,Hamburg,0,0,0
2020-01-15,Hessen,0,0,0
2020-01-15,Mecklenburg-Vorpommern,0,0,0
2020-01-15,Niedersachsen,0,0,0
2020-01-15,Nordrhein-Westfalen,2,0,2
2020-01-15,Rheinland-Pfalz,0,0,0
2020-01-15,Saarland,0,0,0
2020-01-15,Sachsen,0,0,0
2020-01-15,Sachsen-Anhalt,0,0,0
2020-01-15,Schleswig-Holstein,0,0,0
2020-01-15,Thüringen,0,0,0
2020-01-20,Baden-Württemberg,1,0,1
2020-01-20,Bayern,0,0,0
2020-01-20,Berlin,0,0,0
2020-01-20,Brandenburg,0,0,0
2020-01-20,Bremen,0,0,0
2020-01-20,Hamburg,0,0,0
2020-01-20,Hessen,0,0,0
2020-01-20,Mecklenburg-Vorpommern,0,0,0
2020-01-20,Niedersachsen,0,0,0
2020-01-20,Nordrhein-Westfalen,2,0,2
2020-01-20,Rheinland-Pfalz,0,0,0
2020-01-20,Saarland,0,0,0
2020-01-20,Sachsen,0,0,0
2020-01-20,Sachsen-Anhalt,0,0,0
2020-01-20,Schleswig-Holstein,0,0,0
2020-01-20,Thüringen,0,0,0
2020-01-29,Baden-Württemberg,1,0,1
2020-01-29,Bayern,1,0,1
2020-01-29,Berlin,0,0,0
2020-01-29,Brandenburg,0,0,0
2020-01-29,Bremen,0,0,0
2020-01-29,Hamburg,0,0,0
2020-01-29,Hessen,0,0,0
2020-01-29,Mecklenburg-Vorpommern,0,0,0
2020-01-29,Niedersachsen,0,0,0
2020-01-29,Nordrhein-Westfalen,2,0,2
2020-01-29,Rheinland-Pfalz,0,0,0
2020-01-29,Saarland,0,0,0
2020-01-29,Sachsen,0,0,0
2020-01-29,Sachsen-Anhalt,0,0,0
2020-01-29,Schleswig-Holstein,0,0,0
2020-01-29,Thüringen,0,0,0
2020-02-03,Baden-Württemberg,1,0,1
2020-02-03,Bayern,2,0,2
2020-02-03,Berlin,0,0,0
2020-02-03,Brandenburg,0,0,0
2020-02-03,Bremen,0,0,0
2020-02-03,Hamburg,0,0,0
2020-02-03,Hessen,0,0,0
2020-02-03,Mecklenburg-Vorpommern,0,0,0
2020-02-03,Niedersachsen,0,0,0
2020-02-03,Nordrhein-Westfalen,2,0,2
2020-02-03,Rheinland-Pfalz,0,0,0
2020-02-03,Saarland,0,0,0
2020-02-03,Sachsen,0,0,0
2020-02-03,Sachsen-Anhalt,0,0,0
2020-02-03,Schleswig-Holstein,0,0,0
2020-02-03,Thüringen,0,0,0
2020-02-04,Baden-Württemberg,1,0,1
2020-02-04,Bayern,2,0,2
2020-02-04,Berlin,0,0,0
2020-02-04,Brandenburg,0,0,0
2020-02-04,Bremen,0,0,0
2020-02-04,Hamburg,0,0,0
2020-02-04,Hessen,0,0,0
2020-02-04,Mecklenburg-Vorpommern,0,0,0
2020-02-04,Niedersachsen,1,0,1
2020-02-04,Nordrhein-Westfalen,2,0,2
2020-02-04,Rheinland-Pfalz,0,0,0
2020-02-04,Saarland,0,0,0
2020-02-04,Sachsen,0,0,0
2020-02-04,Sachsen-Anhalt,0,0,0
2020-02-04,Schleswig-Holstein,0,0,0
2020-02-04,Thüringen,0,0,0
2020-02-11,Baden-Württemberg,1,0,1
2020-02-11,Bayern,3,0,3
2020-02-11,Berlin,0,0,0
2020-02-11,Brandenburg,0,0,0
2020-02-11,Bremen,0,0,0
2020-02-11,Hamburg,0,0,0
2020-02-11,Hessen,0,0,0
2020-02-11,Mecklenburg-Vorpommern,0,0,0
2020-02-11,Niedersachsen,1,0,1
2020-02-11,Nordrhein-Westfalen,2,0,2
2020-02-11,Rheinland-Pfalz,0,0,0
2020-02-11,Saarland,0,0,0
2020-02-11,Sachsen,0,0,0
2020-02-11,Sachsen-Anhalt,0,0,0
2020-02-11,Schleswig-Holstein,0,0,0
2020-02-11,Thüringen,0,0,0
2020-02-17,Baden-Württemberg,1,0,1
2020-02-17,Bayern,3,0,3
2020-02-17,Berlin,0,0,0
2020-02-17,Brandenburg,1,0,1
2020-02-17,Bremen,0,0,0
2020-02-17,Hamburg,0,0,0
2020-02-17,Hessen,0,0,0
