date,CCAA,confirmed,deceased,hospitalized,intensive_care
2020-01-01,Andalucía,0,0,3,0
2020-01-01,Aragón,0,0,0,0
2020-01-01,Asturias,0,0,0,0
2020-01-01,Baleares,0,0,0,0
2020-01-01,Canarias,0,0,0,0
2020-01-01,Cantabria,0,0,0,0
2020-01-01,Castilla La Mancha,0,0,0,0
2020-01-01,Castilla y León,0,0,0,0
2020-01-01,Cataluña,0,0,1,0
2020-01-01,Ceuta,0,0,0,0
2020-01-01,Galicia,0,0,1,0
2020-01-01,Valenciana,0,0,2,0
2020-01-01,Extremadura,0,0,0,0
2020-01-01,Madrid,0,0,1,0
2020-01-01,Melilla,0,0,0,0
2020-01-01,Murcia,0,0,0,0
2020-01-01,Navarra,0,0,0,0
2020-01-01,País Vasco,0,0,0,0
2020-01-01,La Rioja,0,0,0,0
2020-01-02,Andalucía,0,0,8,0
2020-01-02,Aragón,0,0,0,0
2020-01-02,Asturias,0,0,0,0
2020-01-02,Baleares,0,0,0,0
2020-01-02,Canarias,0,0,0,0
2020-01-02,Cantabria,0,0,0,0
2020-01-02,Castilla La Mancha,0,0,0,0
2020-01-02,Castilla y León,0,0,0,0
2020-01-02,Cataluña,0,0,60,0
2020-01-02,Ceuta,0,0,0,0
2020-01-02,Galicia,0,0,1,0
2020-01-02,Valenciana,0,0,5,0
2020-01-02,Extremadura,0,0,0,0
2020-01-02,Madrid,0,0,4,1
2020-01-02,Melilla,0,0,0,0
2020-01-02,Murcia,0,0,0,0
2020-01-02,Navarra,0,0,0,0
2020-01-02,País Vasco,0,0,3,0
2020-01-02,La Rioja,0,0,0,0
2020-01-03,Andalucía,0,0,10,0
2020-01-03,Aragón,0,0,0,0
2020-01-03,Asturias,0,0,0,0
2020-01-03,Baleares,0,0,0,0
2020-01-03,Canarias,0,0,0,0
2020-01-03,Cantabria,0,0,0,0
2020-01-03,Castilla La Mancha,0,0,0,0
2020-01-03,Castilla y León,0,0,0,0
2020-01-03,Cataluña,0,0,61,0
2020-01-03,Ceuta,0,0,0,0
2020-01-03,Galicia,0,0,1,0
2020-01-03,Valenciana,0,0,6,0
2020-01-03,Extremadura,0,0,0,0
2020-01-03,Madrid,0,0,7,2
2020-01-03,Melilla,0,0,0,0
2020-01-03,Murcia,0,0,0,0
2020-01-03,Navarra,0,0,1,0
2020-01-03,País Vasco,0,0,3,0
2020-01-03,La Rioja,0,0,0,0
2020-01-04,Andalucía,0,0,11,0
2020-01-04,Aragón,0,0,0,0
2020-01-04,Asturias,0,0,0,0
2020-01-04,Baleares,0,0,0,0
2020-01-04,Canarias,0,0,0,0
2020-01-04,Cantabria,0,0,0,0
2020-01-04,Castilla La Mancha,0,0,0,0
2020-01-04,Castilla y León,0,0,0,0
2020-01-04,Cataluña,0,0,63,0
2020-01-04,Ceuta,0,0,0,0
2020-01-04,Galicia,0,0,1,0
2020-01-04,Valenciana,0,0,7,0
2020-01-04,Extremadura,0,0,0,0
2020-01-04,Madrid,0,0,9,2
2020-01-04,Melilla,0,0,0,0
2020-01-04,Murcia,0,0,0,0
2020-01-04,Navarra,0,0,1,0
2020-01-04,País Vasco,0,0,3,0
2020-01-04,La Rioja,0,0,0,0
2020-01-05,Andalucía,0,0,13,0
2020-01-05,Aragón,0,0,0,0
2020-01-05,Asturias,0,0,0,0
2020-01-05,Baleares,0,0,0,0
2020-01-05,Canarias,0,0,0,0
2020-01-05,Cantabria,0,0,0,0
2020-01-05,Castilla La Mancha,0,0,0,0
2020-01-05,Castilla y León,0,0,0,0
2020-01-05,Cataluña,0,0,63,0
2020-01-05,Ceuta,0,0,0,0
2020-01-05,Galicia,0,0,1,0
2020-01-05,Valenciana,0,0,11,0
2020-01-05,Extremadura,0,0,0,0
2020-01-05,Madrid,0,0,9,2
2020-01-05,Melilla,0,0,0,0
2020-01-05,Murcia,0,0,0,0
2020-01-05,Navarra,0,0,1,0
2020-01-05,País Vasco,0,0,4,0
2020-01-05,La Rioja,0,0,0,0
